property tax,count,percent
0.0,16,7.804878048780488
88.0,7,3.4146341463414633
334.0,5,2.4390243902439024
167.0,4,1.951219512195122
584.0,4,1.951219512195122
459.0,3,1.4634146341463414
667.0,3,1.4634146341463414
41.0,3,1.4634146341463414
417.0,3,1.4634146341463414
15.0,3,1.4634146341463414
500.0,3,1.4634146341463414
250.0,3,1.4634146341463414
5.0,2,0.975609756097561
125.0,2,0.975609756097561
230.0,2,0.975609756097561
98.0,2,0.975609756097561
24.0,2,0.975609756097561
25.0,2,0.975609756097561
200.0,2,0.975609756097561
166.0,2,0.975609756097561
90.0,2,0.975609756097561
269.0,2,0.975609756097561
608.0,2,0.975609756097561
117.0,2,0.975609756097561
50.0,2,0.975609756097561
28.0,2,0.975609756097561
277.0,2,0.975609756097561
109.0,2,0.975609756097561
84.0,2,0.975609756097561
405.0,2,0.975609756097561
82.0,2,0.975609756097561
60.0,2,0.975609756097561
100.0,2,0.975609756097561
80.0,2,0.975609756097561
75.0,2,0.975609756097561
180.0,2,0.975609756097561
455.0,2,0.975609756097561
129.0,2,0.975609756097561
10.0,1,0.4878048780487805
30.0,1,0.4878048780487805
12.0,1,0.4878048780487805
14.0,1,0.4878048780487805
18.0,1,0.4878048780487805
20.0,1,0.4878048780487805
44.0,1,0.4878048780487805
33.0,1,0.4878048780487805
34.0,1,0.4878048780487805
40.0,1,0.4878048780487805
43.0,1,0.4878048780487805
184.0,1,0.4878048780487805
54.0,1,0.4878048780487805
7.0,1,0.4878048780487805
150.0,1,0.4878048780487805
70.0,1,0.4878048780487805
68.0,1,0.4878048780487805
142.0,1,0.4878048780487805
169.0,1,0.4878048780487805
153.0,1,0.4878048780487805
145.0,1,0.4878048780487805
144.0,1,0.4878048780487805
178.0,1,0.4878048780487805
140.0,1,0.4878048780487805
138.0,1,0.4878048780487805
135.0,1,0.4878048780487805
179.0,1,0.4878048780487805
442.0,1,0.4878048780487805
55.0,1,0.4878048780487805
237.0,1,0.4878048780487805
59.0,1,0.4878048780487805
300.0,1,0.4878048780487805
1056.0,1,0.4878048780487805
474.0,1,0.4878048780487805
450.0,1,0.4878048780487805
189.0,1,0.4878048780487805
328.0,1,0.4878048780487805
208.0,1,0.4878048780487805
220.0,1,0.4878048780487805
1834.0,1,0.4878048780487805
239.0,1,0.4878048780487805
251.0,1,0.4878048780487805
259.0,1,0.4878048780487805
287.0,1,0.4878048780487805
290.0,1,0.4878048780487805
293.0,1,0.4878048780487805
320.0,1,0.4878048780487805
62.0,1,0.4878048780487805
321.0,1,0.4878048780487805
341.0,1,0.4878048780487805
443.0,1,0.4878048780487805
350.0,1,0.4878048780487805
362.0,1,0.4878048780487805
369.0,1,0.4878048780487805
375.0,1,0.4878048780487805
380.0,1,0.4878048780487805
384.0,1,0.4878048780487805
392.0,1,0.4878048780487805
400.0,1,0.4878048780487805
413.0,1,0.4878048780487805
422.0,1,0.4878048780487805
430.0,1,0.4878048780487805
1042.0,1,0.4878048780487805
1009.0,1,0.4878048780487805
1000.0,1,0.4878048780487805
916.0,1,0.4878048780487805
63.0,1,0.4878048780487805
64.0,1,0.4878048780487805
66.0,1,0.4878048780487805
67.0,1,0.4878048780487805
182.0,1,0.4878048780487805
1898.0,1,0.4878048780487805
186.0,1,0.4878048780487805
737.0,1,0.4878048780487805
478.0,1,0.4878048780487805
506.0,1,0.4878048780487805
509.0,1,0.4878048780487805
523.0,1,0.4878048780487805
534.0,1,0.4878048780487805
578.0,1,0.4878048780487805
590.0,1,0.4878048780487805
600.0,1,0.4878048780487805
602.0,1,0.4878048780487805
613.0,1,0.4878048780487805
625.0,1,0.4878048780487805
673.0,1,0.4878048780487805
745.0,1,0.4878048780487805
458.0,1,0.4878048780487805
775.0,1,0.4878048780487805
787.0,1,0.4878048780487805
816.0,1,0.4878048780487805
817.0,1,0.4878048780487805
819.0,1,0.4878048780487805
825.0,1,0.4878048780487805
911.0,1,0.4878048780487805
57.0,1,0.4878048780487805
